date,plate.SN,well,treatment,dose,units,meanfiringrate_AUC,burst.per.min_AUC,mean.isis_AUC,per.spikes.in.burst_AUC,mean.dur_AUC,mean.IBIs_AUC,nAE_AUC,nABE_AUC,ns.n_AUC,ns.peak.m_AUC,ns.durn.m_AUC,ns.percent.of.spikes.in.ns_AUC,ns.mean.insis_AUC,ns.durn.sd_AUC,ns.mean.spikes.in.ns_AUC,r_AUC,mi_AUC,cv.time_AUC,cv.network_AUC
20140827,MW1007-98,B2,Bisphenol A,0.03,uM,9.37,22.533,0.202,413.663,3.04,171.772,100,90,1365.5,88.905,1.071,153.545,467.824,0.372,208.342,1.899,0.064,4.153,10.491
20141112,MW1041-17,B2,Bisphenol A,0.03,uM,10.141,22.894,0.251,631.603,3.821,283.627,123.5,118.5,345,118.582,1.899,108.788,293.427,0.448,519.608,2.527,0.072,4.496,14.694
20141029,MW1036-8,A2,Cadmium,0.03,uM,21.428,45.937,0.441,458.199,5.282,167.018,121.5,109,1647.5,97.341,1.394,139.141,1786.776,0.413,300.111,1.746,0.108,3.718,11.999
20141029,MW1036-8,B2,Cadmium,0.03,uM,19.867,41.543,0.498,503.832,7.142,187.093,119.5,109.5,1179.5,91.008,1.545,106.046,258.541,0.756,264.297,1.471,0.073,3.504,12.344
20141029,MW1036-8,C2,Cadmium,0.03,uM,15.565,32.165,0.609,412.692,5.621,153.561,111,95,856.5,73.302,1.022,86.723,90.143,0.433,218.998,1.24,0.052,4.256,16.146
20151014,MW1076-42,A3,Caffeine,0.03,uM,17.229,30.409,0.428,342.94,7.474,137.639,84.5,60.5,813,60.732,0.873,45.813,617.609,0.38,175.216,0.662,0.034,4.857,14.672
20151014,MW1076-43,A4,Caffeine,0.03,uM,12.904,22.043,0.619,382.199,12.708,287.54,78.5,63,601.5,73.839,0.874,68.602,971.085,0.278,268.29,0.867,0.031,4.965,20.451
20151014,MW1076-44,A5,Caffeine,0.03,uM,5.341,9.562,0.164,223.693,1.821,150.073,54.5,44,138,43.032,0.745,52.669,166.7,0.159,167.229,0.653,0.015,9.456,14.089
20151014,MW1076-42,B3,Captopril,0.03,uM,11.663,24.231,0.381,332.707,4.076,176.958,89.5,67.5,442.5,69.746,1.038,49.036,579.753,0.377,265.941,0.808,0.03,4.929,15.561
20151014,MW1076-43,B4,Captopril,0.03,uM,13.327,28.741,0.314,320.829,2.922,128.582,95,71.5,803,66.176,0.847,72.534,273.916,0.361,179.034,0.913,0.045,4.063,17.814
20151014,MW1076-44,B5,Captopril,0.03,uM,6.763,15.687,0.199,454.413,2.551,220.82,71,63,394.5,67.293,0.913,76.679,400.024,0.306,230.402,1.123,0.037,3.391,16.019
20160601,MW1062-29,C3,Carbamazepine,0.03,uM,315.728,9.02,0.166,423.892,3.551,312.523,64.5,64.5,166.5,72.47,1.135,92.35,243.427,0.363,329.474,1.513,0.039,3.858,14.22
20160601,MW1062-43,C4,Carbamazepine,0.03,uM,384.177,12.855,0.168,411.908,2.746,233.805,92.5,88,282,86.988,1.34,108.812,234.968,0.347,447.301,1.812,0.042,6.861,20.304
20160601,MW1062-44,C5,Carbamazepine,0.03,uM,394.624,14.021,0.135,467.49,2.656,218.883,91.5,81.5,286.5,85.645,1.45,120.808,230.141,0.399,521.835,2.064,0.062,6.228,19.091
20150128,MW1007-109,B2,Carbaryl,0.03,uM,16.17,34.836,0.282,621.379,4.252,197.01,131,131,584.5,114.738,2.04,113.231,166.353,0.861,484.324,2.631,0.114,2.661,16.751
20150128,MW1008-1,B2,Carbaryl,0.03,uM,13.828,37.468,0.394,547.615,4.363,200.992,104.5,98,1159,79.962,1.575,149.977,194.059,0.579,239.959,1.446,0.069,4.448,8.748
20150128,MW1008-40,B2,Carbaryl,0.03,uM,26.727,53.545,0.29,656.368,4.965,143.73,131,121,1327,116.595,1.984,122.621,153.509,0.938,426.428,2.832,0.213,2.589,19.818
20150401,MW1053-26,B2,Chloramben,0.03,uM,12.102,25.664,0.403,517.666,4.722,200.948,111,102,478.5,78.985,1.208,100.021,123.483,0.592,326.696,1.813,0.061,4.873,20.325
20150401,MW1053-31,B2,Chloramben,0.03,uM,11.927,29.419,0.407,470.36,3.693,243.464,98,91,674.5,73.057,0.958,121.579,157.347,0.499,256.556,1.359,0.052,5.684,20.931
20150401,MW1053-33,B2,Chloramben,0.03,uM,13.194,32.07,0.4,516.918,4.737,237.86,128.5,110.5,903.5,97.729,2.076,123.011,428.362,0.802,401.249,1.729,0.071,3.406,23.142
20150909,MW1047-22,F3,Chloramben,0.03,uM,13.607,35.473,0.23,341.471,2.031,122.893,88.5,73.5,1190,70.115,0.805,171.727,107.452,0.261,248.819,1.442,0.09,5.16,13.503
20150909,MW1047-29,F4,Chloramben,0.03,uM,9.604,23.642,0.298,309.635,2.845,154.586,78,65,1218,60.172,0.815,138.221,104.164,0.244,133.583,1.121,0.049,5.98,14.295
20150909,MW1047-30,F5,Chloramben,0.03,uM,19.835,51.298,0.551,491.583,4.917,139.145,114.5,98,1421.5,73.038,0.879,150.157,40.247,0.503,245.081,1.753,0.115,3.096,15.697
20150819,MW1044-2,E3,Chlordiazepoxide,0.03,uM,13.343,29.385,0.181,638.758,3.543,237.923,136,136,769,111.934,1.918,149.34,233.298,0.669,579.432,2.983,0.117,2.606,22.47
20150819,MW1044-6,E4,Chlordiazepoxide,0.03,uM,14.697,31.181,0.256,645.265,4.985,215.937,133.5,133.5,694,117.156,1.915,141.379,227.572,1.024,581.899,2.978,0.13,2.909,22.963
20150819,MW1044-7,E5,Chlordiazepoxide,0.03,uM,12.14,31.136,0.206,634.777,3.352,216.194,136,136,627,121.895,1.925,144.317,238.375,0.628,587.198,3.027,0.113,2.796,19.802
20160601,MW1062-29,B3,Chlorpromazine,0.03,uM,385.887,14.196,0.183,468.251,2.941,269.142,84,77.5,372.5,75.671,1.122,147.646,172.558,0.398,392.521,1.929,0.054,3.519,18.526
20160601,MW1062-43,B4,Chlorpromazine,0.03,uM,570.084,16.294,0.404,490.078,5.334,270.759,97.5,86.5,208.5,86.132,1.377,101.559,246.242,0.34,571.911,1.678,0.056,4.883,20.226
20160601,MW1062-44,B5,Chlorpromazine,0.03,uM,960.372,16.854,0.521,414.183,4.967,377.302,82.5,76,448,70.759,1.157,118.425,221.021,0.408,378.491,1.409,0.052,6.528,16.555
20140924,MW1007-70,B2,Chlorpyrifos,0.03,uM,17.568,7.64,0.182,390.642,1.897,327.289,78,64.5,198.5,74.065,0.93,130.671,240.808,0.251,210.42,1.224,0.016,8.577,13.221
20140924,MW1007-81,B2,Chlorpyrifos,0.03,uM,4.841,12.602,0.165,464.028,2.021,155.456,90,63.5,308,68.274,1.098,117.945,153.393,0.283,244.065,1.311,0.031,6.925,13.828
20140924,MW1007-84,B2,Chlorpyrifos,0.03,uM,5.853,11.776,0.301,452.601,3.712,344.724,75.5,50,237.5,73.186,1.023,119.636,206.462,0.225,277.092,1.176,0.024,8.485,13.919
20140924,MW1007-70,C2,Chlorpyrifos oxon,0.03,uM,1.48,5.35,0.136,304.642,1.229,213.112,41.5,33.5,97.5,48.694,0.792,106.714,176.346,0.135,136.01,1.052,0.008,5.112,4.504
20140924,MW1007-81,C2,Chlorpyrifos oxon,0.03,uM,11.897,23.257,0.355,564.551,5.749,299.297,99.5,97,248,86.346,1.231,112.247,166.615,0.407,410.141,2.246,0.063,6.077,12.473
20140924,MW1007-84,C2,Chlorpyrifos oxon,0.03,uM,7.935,13.367,0.549,387.952,4.876,380.365,109,88.5,232.5,84.814,1.206,101.386,205.464,0.476,431.603,1.372,0.04,5.261,7.628
20141112,MW 1041-25,C2,Cocaine,0.03,uM,11.806,26.092,0.238,632.594,3.326,303.815,123.5,121,688,107.439,1.646,117.359,277.815,0.513,419.561,2.543,0.081,4.229,18.199
20141112,MW 1041-28,C2,Cocaine,0.03,uM,10.337,22.917,0.332,500.487,3.942,290.253,111,101.5,776.5,103.011,1.331,124.14,288.865,0.539,301.815,2.032,0.06,4.494,20.944
20141112,MW1041-17,C2,Cocaine,0.03,uM,4.307,14.206,0.295,578.827,3.026,408.109,99.5,83.5,223.5,122.324,1.593,192.173,617.397,0.225,584.168,2.494,0.04,6.57,19.002
20140827,MW1007-100,D2,Cocaine,0.03,uM,9.593,22.51,0.367,461.306,4.554,302.573,106.5,90.5,1019,67.747,0.941,120.168,76.643,0.405,174.939,1.375,0.049,4.327,11.4
20140827,MW1007-91,D2,Cocaine,0.03,uM,10.944,21.295,0.168,423.658,2.447,132.844,104,94,959,82.301,0.963,148.874,89.253,0.419,302.682,2.229,0.09,6.13,10.966
20140827,MW1007-98,D2,Cocaine,0.03,uM,10.581,25.462,0.317,578.768,3.892,173.356,111,99,1035,73.071,0.93,145.896,84.586,0.442,270.028,1.835,0.068,4.543,12.115
20150819,MW1044-2,F3,Colchicine,0.03,uM,16.454,15.426,0.406,219.414,26.877,42.499,53,26.5,87,14.483,0.36,1.859,22.753,0.114,30,0.021,0.001,5.669,14.462
20150819,MW1044-6,F4,Colchicine,0.03,uM,2.568,0.022,0,0,0,0,17,0,0,0,0,0,0,0,0,0.012,0,4.797,10.609
20150819,MW1044-7,F5,Colchicine,0.03,uM,9.334,15.916,0.522,173.569,4.691,246.716,48,25.5,55.5,14.432,0.198,6.009,34.208,0.047,48.243,0.049,0.001,6.67,14.555
20150401,MW1053-26,C2,Cotinine,0.03,uM,12.095,26.064,0.509,485.459,5.397,228.747,114,99,395,82.798,1.329,87.119,155.594,0.624,383.487,1.839,0.073,4.64,20.876
20150401,MW1053-31,C2,Cotinine,0.03,uM,9.987,26.168,0.363,497.184,3.227,343.541,94.5,81,756.5,70.051,0.95,118.387,137.863,0.454,214.094,1.244,0.047,3.875,19.305
20150401,MW1053-33,C2,Cotinine,0.03,uM,16.512,39.297,0.426,518.569,6.113,160.519,111.5,104.5,715,81.631,1.272,99.252,98.137,0.572,309.958,1.616,0.066,4.207,15.42
20150909,MW1047-22,E3,Cotinine,0.03,uM,14.797,33.455,0.409,558.706,5.253,187.281,108.5,91,913.5,70.917,1.171,125.291,61.18,0.57,257.708,1.54,0.077,3.464,20.45
20150909,MW1047-29,E4,Cotinine,0.03,uM,10.162,24.219,0.224,398.507,2.815,116.974,104.5,88,883,73.031,0.954,124.372,67.693,0.603,222.57,1.734,0.071,4.278,12.744
20150909,MW1047-30,E5,Cotinine,0.03,uM,20.804,45.419,0.354,469.037,3.651,158.292,116.5,94.5,988.5,84.516,1.184,156.796,50.537,0.662,416.508,2.412,0.154,3.032,18.977
20160601,MW1062-29,E3,Cyclophosphamid,0.03,uM,337.316,12.303,0.111,451.212,2.094,213.621,76.5,68.5,366,70.304,0.979,144.474,147.95,0.469,289.934,1.999,0.064,3.163,8.946
20160601,MW1062-43,E4,Cyclophosphamid,0.03,uM,336.458,11.893,0.17,404.75,2.633,245.316,92.5,88,277.5,85.782,1.188,112.898,202.943,0.326,397.401,1.785,0.042,6.686,21.605
20160601,MW1062-44,E5,Cyclophosphamid,0.03,uM,383.829,13.762,0.169,433.834,2.342,225.053,70.5,59.5,333.5,64.622,1.166,126.706,169.955,0.317,280.27,1.375,0.044,8.216,16.405
20141231,MW1045-02,B2,Cypermethrin,0.03,uM,10.052,17.925,0.409,503.455,3.854,225.148,104.5,93,196,83.344,1.622,74.05,197.067,0.435,425.409,1.856,0.059,5.012,11.238
20141231,MW1045-06,B2,Cypermethrin,0.03,uM,4.922,9.399,0.197,372.252,2.046,242.233,79.5,67,190,72.645,1.04,103.759,333.914,0.316,330.528,1.442,0.04,4.149,9.402
20141231,MW1045-09,B2,Cypermethrin,0.03,uM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20150909,MW1047-22,A3,Cytosine Arabinoside,0.03,uM,17.707,36.941,0.612,440.115,5.999,136.17,114.5,90,1074.5,75.988,1.109,142.172,60.207,0.536,291.758,1.801,0.114,4,20.019
20150909,MW1047-29,A4,Cytosine Arabinoside,0.03,uM,10.169,27.583,0.157,348.618,1.405,138.448,86,68.5,1099.5,71.512,0.782,202.601,68.689,0.294,262.246,1.747,0.09,6.793,15.501
20150909,MW1047-30,A5,Cytosine Arabinoside,0.03,uM,30.085,63.536,0.453,550.278,7.047,98.808,128.5,106,2084.5,80.291,0.741,175.508,16.247,0.493,318.124,2.247,0.194,2.63,22.492
20141112,MW 1041-25,D2,Cytosine Arabinoside,0.03,uM,10.239,23.053,0.231,667.195,3.717,263.592,129,116.5,688.5,101.955,1.733,129.228,218.296,0.628,337.194,2.596,0.09,3.502,20.518
20141112,MW 1041-28,D2,Cytosine Arabinoside,0.03,uM,11.033,25.325,0.284,549.951,3.564,243.605,123.5,113.5,857,107.609,1.674,127.467,205.36,0.594,319.935,2.274,0.088,4.036,19.359
20141112,MW1041-17,D2,Cytosine Arabinoside,0.03,uM,8.512,20.853,0.248,593.583,3.302,309.187,118.5,111,372,104.895,1.58,117.219,321.131,0.59,410.213,2.004,0.059,4.091,16.876
20140827,MW1007-100,E2,Cytosine Arabinoside,0.03,uM,11.193,20.171,0.467,366.527,4.665,309.269,101,89.5,1219,71.44,0.969,131.318,91.313,0.44,168.145,1.399,0.05,4.853,10.092
20140827,MW1007-91,E2,Cytosine Arabinoside,0.03,uM,9.337,21.653,0.503,455.253,3.897,324.778,97.5,92.5,830,70.296,0.863,123.408,100.6,0.406,206.365,1.809,0.07,4.544,8.974
20140827,MW1007-98,E2,Cytosine Arabinoside,0.03,uM,6.867,17.946,0.425,472.582,3.814,324.424,109.5,97.5,541,74.285,0.933,109.326,109.641,0.39,182.056,1.545,0.038,5.47,10.307
20141112,MW 1041-25,E2,DEHP,0.03,uM,11.407,27.696,0.241,654.305,3.437,278.19,119,114,851.5,107.513,1.516,154.826,264.056,0.512,420.818,2.544,0.094,4.452,21.01
20141112,MW 1041-28,E2,DEHP,0.03,uM,11.329,24.703,0.269,609.723,3.71,240.259,118.5,111.5,996.5,103.846,1.542,142.719,232.298,0.562,381.798,2.442,0.092,3.898,17.01
20141112,MW1041-17,E2,DEHP,0.03,uM,9.453,22.837,0.225,646.977,3.177,318.764,126,123.5,545.5,115.354,1.664,155.852,254.847,0.629,506.599,2.865,0.094,3.755,15.184
20140827,MW1007-100,F2,DEHP,0.03,uM,7.621,19.371,0.483,513.217,5.781,261.215,96.5,75,740,57.477,0.852,92.49,136.943,0.396,121.864,0.931,0.029,5.948,12.753
20140827,MW1007-91,F2,DEHP,0.03,uM,11.145,26.928,0.379,446.498,3.956,250.733,111.5,94.5,1122.5,70.37,0.809,121.706,60.916,0.381,187.546,1.468,0.058,4.392,9.865
20140827,MW1007-98,F2,DEHP,0.03,uM,13.421,23.695,0.647,418.33,8.658,192.406,67.5,54.5,476,50.987,0.889,109.509,511.808,0.405,150.66,0.915,0.033,3.964,11.321
20140827,MW1007-100,C2,Deltamethrin,0.03,uM,7.833,17.898,0.352,480.742,4.067,386.763,104,92.5,671,69.295,1.038,110.756,126.999,0.467,191.579,1.494,0.044,4.531,10.233
20140827,MW1007-91,C2,Deltamethrin,0.03,uM,8.276,19.894,0.396,596.322,4.405,198.567,103.5,98.5,357,81.537,1.229,103.5,105.712,0.493,308.031,1.878,0.054,5.375,9.368
20140827,MW1007-98,C2,Deltamethrin,0.03,uM,7.404,19.045,0.176,412.972,2.436,172.196,91,86,810.5,70.005,0.82,165.219,83.117,0.363,228.12,1.922,0.06,6.106,9.687
20141112,MW 1041-25,F2,Deltamethrin,0.03,uM,17.562,43.21,0.3,624.25,4.662,168.428,126.5,121.5,996.5,120.722,2.017,161.26,185.758,0.804,472.948,2.765,0.138,3.27,14.32
20141112,MW 1041-28,F2,Deltamethrin,0.03,uM,12.953,34.909,0.319,590.473,3.99,240.332,110,100.5,1067,97.553,1.431,149.223,247.03,0.627,283.699,2.207,0.081,3.252,15.979
20141112,MW1041-17,F2,Deltamethrin,0.03,uM,12.506,31.106,0.275,580.195,3.429,237.412,123.5,119,985.5,107.665,1.647,141.617,165.941,0.596,368.698,2.435,0.086,3.279,13.093
20140924,MW1007-70,D2,Dexamethasone,0.03,uM,11.843,20.877,0.47,427.422,5.185,234.651,106.5,95.5,234,80.202,1.184,82.896,174.269,0.449,394.465,1.293,0.04,4.834,8.503
20140924,MW1007-81,D2,Dexamethasone,0.03,uM,10.978,20.981,0.472,436.373,4.393,371.698,105,92,318,79.439,1.118,92.986,204.246,0.403,443.131,1.533,0.05,4.803,10.52
20140924,MW1007-84,D2,Dexamethasone,0.03,uM,8.411,16.024,0.683,436.723,5.036,374.956,110,93.5,310,83.842,0.963,119.466,131.073,0.305,412.253,1.925,0.055,4.951,7.766
20140924,MW1007-70,E2,Diazepam,0.03,uM,11.351,19.006,0.666,358.172,6.803,222.039,98,88,316.5,70.945,1.153,74.253,127.169,0.507,178.63,1.077,0.025,5.985,9.98
20140924,MW1007-81,E2,Diazepam,0.03,uM,9.593,18.341,0.43,450.444,4.677,300.758,102,97,283,80.012,1.2,78.757,151.052,0.365,290.053,1.467,0.034,6.59,13.417
20140924,MW1007-84,E2,Diazepam,0.03,uM,5.745,9.113,0.206,415.201,3.487,282.073,101,92.5,234.5,79.861,1.088,102.181,201.196,0.409,317.362,1.713,0.034,8.055,11.103
20141029,MW1008-41,B2,Dieldrin,0.03,uM,13.417,30.411,0.27,509.157,4.491,158.149,120,120,1166,105.21,1.457,158.656,150.464,0.603,453.889,2.17,0.085,3.318,12.876
20141029,MW1008-42,D2,Dieldrin,0.03,uM,18.705,44.383,0.351,549.983,4.858,220.003,136,118.5,1238,105.653,1.35,115.031,234.607,0.731,300.261,1.858,0.101,2.81,19.605
20141029,MW1008-41,F2,Dieldrin,0.03,uM,21.342,50.169,0.311,538.378,5.102,123.986,116.5,116.5,1569,92.542,1.342,135.984,89.934,0.73,396.11,1.935,0.108,2.449,12.399
20150909,MW1047-22,B3,Diethylene glycol,0.03,uM,21.58,39.91,0.391,544.854,5.289,153.752,112,102,1193,77.968,1.121,155.965,51.077,0.607,415.792,2.262,0.163,4.372,22.002
20150909,MW1047-29,B4,Diethylene glycol,0.03,uM,7.608,14.941,0.414,468.846,5.265,267.689,102,89.5,491.5,68.619,1.077,116.2,100.372,0.569,215.038,1.496,0.043,6.22,14.112
20150909,MW1047-30,B5,Diethylene glycol,0.03,uM,17.106,42.543,0.407,510.246,4.556,232.484,128.5,118.5,1285,89.483,1.413,132.899,240.01,0.639,263.441,1.623,0.086,2.539,19.477
20150401,MW1053-26,D2,Diethylstilbestrol,0.03,uM,12.29,27.194,0.432,504.965,4.414,280.447,113.5,108.5,547,78.257,1.293,102.732,158.653,0.535,383.371,1.967,0.068,4.687,22.416
20150401,MW1053-31,D2,Diethylstilbestrol,0.03,uM,12.435,28.749,0.58,467.703,4.889,177.76,100,86.5,616,76.286,0.991,110.364,125.063,0.501,280.904,1.479,0.06,5.734,21.028
20150401,MW1053-33,D2,Diethylstilbestrol,0.03,uM,12.976,29.634,0.415,555.284,5.057,197.159,122,112,462,79.145,1.323,88.308,128.472,0.617,383.186,1.904,0.074,4.789,23.595
20140924,MW1007-70,F2,Diphenylhydantoin,0.03,uM,13.168,24.205,0.562,478.537,7.513,170.824,102,90.5,385.5,87.122,1.351,89.495,131.99,0.413,365.455,1.611,0.057,5.63,12.944
20140924,MW1007-81,F2,Diphenylhydantoin,0.03,uM,12.702,21.578,0.256,392.489,5.495,167.738,105,88.5,301.5,98.728,1.845,48.312,191.925,0.471,346.247,1.225,0.05,3.816,11.329
20140924,MW1007-84,F2,Diphenylhydantoin,0.03,uM,11.672,23.437,0.446,446.396,4.738,326.84,107,97,457.5,75.821,0.982,100.883,182.186,0.533,429.121,1.741,0.075,5.733,7.467
20141203,MW1042-42,C3,Domoic Acid,0.03,uM,7.802,14.153,0.265,590.676,4.258,385.891,131,120,169.5,121.613,2.128,90.969,441.682,0.476,619.9,2.177,0.05,7.06,23.975
20141203,MW1042-43,C3,Domoic Acid,0.03,uM,9.184,24.711,0.201,628.148,2.777,362.169,131,119,493,112.858,1.489,163.518,304.113,0.552,494.795,2.484,0.075,4.76,15.7
20141203,MW1042-44,C3,Domoic Acid,0.03,uM,9.643,24.008,0.223,535.096,2.947,343.262,121,116,488.5,113.89,1.475,127.944,351.106,0.472,438.348,2.332,0.071,5.08,12.447
20141231,MW1045-02,C2,Emamectin benzoate,0.03,uM,0.742,3.209,0.085,293.479,0.596,262,45.5,28,79.5,55.53,0.355,222.137,202.432,0.102,242.436,1.957,0.008,3.461,11.478
20141231,MW1045-06,C2,Emamectin benzoate,0.03,uM,3.373,7.384,0.139,411.054,1.248,368.199,85.5,61,145.5,89.997,0.642,242.287,272.73,0.154,490.143,2.882,0.036,8.028,16.63
20141231,MW1045-09,C2,Emamectin benzoate,0.03,uM,2.272,4.924,0.161,296.229,1.087,443.127,70.5,41.5,196,71.536,0.568,246.199,332.541,0.19,295.685,2.018,0.012,13.305,22.518
20141231,MW1045-02,D1,Fipronil,0.03,uM,13.561,23.337,0.238,426.148,4.235,134.655,101.5,90,320.5,75.639,1.799,48.653,169.036,0.786,275.785,1.484,0.072,4.439,15.719
20141231,MW1045-06,D1,Fipronil,0.03,uM,11.13,21.46,0.198,433.013,3.138,139.832,100,86.5,334,81.101,1.673,54.56,166.953,0.678,261.521,1.589,0.066,6.731,17.279
20141231,MW1045-09,D1,Fipronil,0.03,uM,8.816,20.423,0.209,429.309,2.743,144.103,95,80,273,77.788,1.489,58.048,205.041,0.634,275.284,1.346,0.048,5.931,21.008
20150909,MW1047-22,C3,Fluconazole,0.03,uM,12.439,30.693,0.516,539.913,4.571,126.784,103.5,86,854,69.259,0.901,131.232,74.815,0.487,254.789,1.687,0.081,4.488,21.691
20150909,MW1047-29,C4,Fluconazole,0.03,uM,13.522,32.355,0.464,446.439,4.535,281.351,112.5,96,647,73.66,1.204,81.907,92.62,0.582,231.226,1.161,0.046,3.835,11.546
20150909,MW1047-30,C5,Fluconazole,0.03,uM,15.271,33.095,0.427,543.867,5.725,178.355,98,86,617.5,76.909,1.893,88.651,647.095,0.908,252.31,1.638,0.07,3.364,18.835
20160601,MW1062-29,A3,Fluoxetine,0.03,uM,528.356,14.675,0.169,407.669,3.376,185.684,77,67,605,61.97,0.971,116.411,108.907,0.535,208.423,1.454,0.053,9.132,21.15
20160601,MW1062-43,A4,Fluoxetine,0.03,uM,673.019,24.414,0.164,444.739,3.061,140.585,92,85.5,383.5,80.322,1.372,101.143,122.367,0.557,399.985,2.059,0.102,6.064,20.738
20160601,MW1062-44,A5,Fluoxetine,0.03,uM,499.285,17.11,0.14,445.123,2.421,156.546,78,66,427.5,74.91,1.19,140.377,143.341,0.402,345.859,1.715,0.067,4.048,19.461
20141231,MW1045-02,E2,Flusilazole,0.03,uM,6.936,15.925,0.196,427.013,2.449,175.264,92.5,86,232,85.128,1.501,98.432,200.459,0.354,401.325,1.662,0.049,8.045,19.188
20141231,MW1045-06,E2,Flusilazole,0.03,uM,14.136,22.019,0.522,518.299,5.9,178.586,95.5,87,223,82.952,1.671,93.455,156.494,0.365,455.068,1.939,0.066,5.155,18.262
20141231,MW1045-09,E2,Flusilazole,0.03,uM,7.039,13.786,0.194,356.573,2.667,213.947,81.5,77.5,210,79.793,1.103,75.039,243.549,0.257,344.544,1.222,0.035,2.915,15.674
20140910,MW1008-39,B2,Glyphosate,0.03,uM,3.634,11.734,0.125,429.959,1.105,217.152,77.5,66,274,72.147,0.983,172.534,139.058,0.157,244.775,1.558,0.029,5.952,10.552
20140910,MW1008-40,B2,Glyphosate,0.03,uM,6.713,19.062,0.244,661.565,2.512,317.659,109,94.5,420.5,96.187,1.187,121.645,117.084,0.333,320.778,1.729,0.044,4.304,5.876
20140910,MW1008-68,B2,Glyphosate,0.03,uM,8.228,23.638,0.47,536.926,4.122,196.212,93,74.5,384.5,86.524,0.981,161.237,126.003,0.197,376.233,2.216,0.053,5.609,14.443
20140910,MW1008-39,C2,Haloperidol,0.03,uM,5.819,17.481,0.199,470.702,2.328,155.06,92.5,81,396,76.859,1.317,121.005,112.252,0.317,233.834,1.408,0.037,5.806,10.157
20140910,MW1008-40,C2,Haloperidol,0.03,uM,5.691,14.139,0.378,513.957,3.141,394.146,100,88,262.5,81.886,1.274,109.906,144.546,0.376,263.535,1.633,0.035,4.456,10.289
20140910,MW1008-68,C2,Haloperidol,0.03,uM,6.401,18.36,0.269,590.983,2.902,223.909,94,80,365,83.875,0.988,129.199,148.942,0.191,257.424,1.652,0.033,5.178,9.749
20150128,MW1007-109,C2,Heptachlor epoxide,0.03,uM,20.628,38.597,0.304,630.773,5.598,174.269,126,126,598.5,109.675,2.578,100.993,178.039,1.289,512.364,2.437,0.14,2.185,21.046
20150128,MW1008-1,C2,Heptachlor epoxide,0.03,uM,14.834,39.279,0.292,639.433,4.274,187.428,131,121.5,960,104.57,1.827,129.51,156.374,0.824,375.037,2.012,0.086,2.838,13.79
20150128,MW1008-40,C2,Heptachlor epoxide,0.03,uM,23.55,47.469,0.371,591.292,4.741,153.504,126,108.5,1183,98.194,1.966,102.657,331.658,0.922,380.54,2.353,0.165,2.464,20.189
20151014,MW1076-42,C3,Heptachlor epoxide,0.03,uM,11.006,18.291,0.391,289.363,4.397,168.649,87,63.5,432,70.476,0.915,59.069,349.375,0.436,265.911,0.994,0.042,5.871,21.089
20151014,MW1076-43,C4,Heptachlor epoxide,0.03,uM,17.364,32.448,0.675,425.309,9.083,200.207,93.5,84.5,266.5,81.501,1.237,47.326,383.598,0.513,317.961,1,0.038,6.332,19.491
20151014,MW1076-44,C5,Heptachlor epoxide,0.03,uM,12.73,33.638,0.623,448.079,4.913,253.06,90.5,70,450,79.234,0.859,76.412,473.923,0.317,266.4,1.213,0.04,5.145,17.706
20150805,MW1040-11,A4,Hexachlorophene,0.03,uM,574.472,24.046,0.291,568.681,3.573,261.858,107,99.5,693.5,102.237,1.218,199.278,267.5,0.588,420.178,2.622,0.097,4.928,14.936
20150805,MW1040-12,A5,Hexachlorophene,0.03,uM,878.891,29.62,0.269,614.209,4.157,291.984,123.5,126,774,124.625,1.547,139.554,275.006,0.698,475.493,2.873,0.113,3.474,20.345
20150805,MW1040-11,B4,Hydroxyurea,0.03,uM,359.138,15.221,0.306,534.938,3.154,414.635,100.5,84.5,756,87.779,1.142,172.023,1990.358,0.399,251.677,1.82,0.055,5.63,21.78
20150805,MW1040-12,B5,Hydroxyurea,0.03,uM,618.233,24.896,0.281,630.964,3.817,297.721,115,110,604,104.421,1.58,154.187,301.75,0.576,413.134,2.264,0.083,3.963,24.027
20150128,MW1007-109,D2,Imidacloprid,0.03,uM,18.106,31.017,0.283,671.143,8.221,176.64,123.5,115,535.5,109.494,2.374,107.294,193.239,0.766,553.059,2.435,0.122,2.807,19.072
20150128,MW1008-1,D2,Imidacloprid,0.03,uM,11.223,28.154,0.306,543.276,3.271,195.823,120.5,101.5,809.5,89.198,1.739,110.68,199.901,0.725,236.82,1.38,0.051,4.088,12.355
20150128,MW1008-40,D2,Imidacloprid,0.03,uM,22.417,47.136,0.324,616.589,4.691,169.144,121,118.5,1219.5,99.598,1.966,101.016,175.921,0.905,349.782,2.379,0.152,2.957,17.965
20150401,MW1053-26,E2,Isoniazid,0.03,uM,12.838,30.744,0.337,460.492,3.807,300.38,112,94.5,678.5,83.148,1.179,105.668,129.61,0.636,345.904,1.97,0.093,4.067,19.293
20150401,MW1053-31,E2,Isoniazid,0.03,uM,6.88,15.39,0.394,432.919,2.981,461.696,96.5,71.5,368,70.413,0.966,114.32,156.144,0.395,222.126,1.152,0.033,5.842,18.125
20150401,MW1053-33,E2,Isoniazid,0.03,uM,8.99,21.128,0.337,553.533,3.707,277.916,113,92.5,427.5,77.589,1.145,121.489,138.607,0.488,341.859,1.875,0.062,4.818,20.802
