"PREFERRED_NAME","EPA_SAMPLE_ID","treatment","filename","primary_dataset","ALIQUOT_PLATE_BARCODE","ALIQUOT_WELL_ID","ALIQUOT_CONC","ALIQUOT_CONC_UNIT","TARGET_CONC","TARGET_CONC_UNIT","ALIQUOT_VOLUME","ALIQUOT_VOLUME_UNIT","ALIQUOT_SOLVENT","ALIQUOT_DATE","BOTTLE_ID","pd_sample_id","gsid","ALIQUOT_VIAL_BARCODE","pd_sample","LOCATION","MW","Supplier","Lot.Number","CoA.Purity.(%)","Determined.Purity.(%)","Culture","chid","stkc","stkc_unit","tested_conc_unit","casn","chnm","dsstox_substance_id","notes","Solvent.used"
"6:2 Fluorotelomer methacrylate","1483026","1483026","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483026",NA,"F1","432.181",NA,NA,NA,NA,NA,47558,30,"mM","uM","2144-53-8","6:2 Fluorotelomer methacrylate","DTXSID3047558","",NA
"6H-Perfluorohex-1-ene","1475838","1475838","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475838",NA,"C7","282.056",NA,NA,NA,NA,NA,379850,30,"mM","uM","1767-94-8","6H-Perfluorohex-1-ene","DTXSID10379850","",NA
"8:2 Fluorotelomer alcohol","1475860","1475860","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475860",NA,"E9","464.122",NA,NA,NA,NA,NA,29904,30,"mM","uM","678-39-7","8:2 Fluorotelomer alcohol","DTXSID7029904","",NA
"?-Cyhalothrin","EPAPLT0167H06","100","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,32559,17.1387004852295,"mM","uM","91465-08-6","?-Cyhalothrin","DTXSID7032559","",NA
"Abamectin","TP0001649H03","Abamectin","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","H03",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,23892,NA,"TP0001649H03","",NA,NA,NA,NA,NA,NA,23892,20,"mM","uM","71751-41-2","Abamectin","DTXSID8023892","",NA
"Acenaphthene","EX000293","Acenaphthene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B4","154.21","Sigma-Aldrich","03207TH","99.9","100",NA,21774,20.3999996185303,"mM","uM","83-32-9","Acenaphthene","DTXSID3021774","",NA
"Acenaphthene","TP0001649D09","Acenaphthene","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","D09",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,21774,NA,"TP0001649D09","",NA,NA,NA,NA,NA,NA,21774,20,"mM","uM","83-32-9","Acenaphthene","DTXSID3021774","",NA
"Acenaphthylene","EX000294","Acenaphthylene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.100000000000001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B5","152.19","Sigma-Aldrich","11303EE","99.7","100",NA,23845,20.1000003814697,"mM","uM","208-96-8","Acenaphthylene","DTXSID3023845","",NA
"Acenaphthylene","TP0001649H08","Acenaphthylene","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","H08",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,23845,NA,"TP0001649H08","",NA,NA,NA,NA,NA,NA,23845,20,"mM","uM","208-96-8","Acenaphthylene","DTXSID3023845","",NA
"Acephate","EPAPLT0167A01","5","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,23846,20,"mM","uM","30560-19-1","Acephate","DTXSID8023846","",NA
"Acephate","EX000474","Acephate","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Frank2017","DNT_EXTRA","1","100","mM",100,"mM",100,"uL","-","-","EX000474",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,23846,100,"mM","uM","30560-19-1","Acephate","DTXSID8023846","",NA
"Acephate","TT0000177A04","Acephate","EPA_11118_EPA-Mundy_27FR_100mM_20150701_cg.xlsx","OPP2015","TT0000177","A04","100","mM",NA,NA,500,"uL","DMSO","42192",NA,NA,23846,"112920992",NA,"",NA,NA,NA,NA,NA,NA,23846,100,"mM","uM","30560-19-1","Acephate","DTXSID8023846","",NA
"Acetaminophen","EX000295","Acetaminophen","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B6","151.16","Sigma-Aldrich","10018JE","98.7","100",NA,20006,20.6000003814697,"mM","uM","103-90-2","Acetaminophen","DTXSID2020006","",NA
"Acetaminophen","EX000404","Acetaminophen","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","34","20","mM",20,"mM",100,"uL","-","-","EX000404",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20006,20,"mM","uM","103-90-2","Acetaminophen","DTXSID2020006","","Water"
"Acetamiprid","EX000521","Acetamiprid","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Frank2017","DNT_EXTRA2","6","100","mM",100,"mM",100,"uL","-","-","EX000521",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,34300,100,"mM","uM","135410-20-7","Acetamiprid","DTXSID0034300","","DMSO"
"Acibenzolar-S-methyl","EPAPLT0167A05","7","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,32519,20.0004005432129,"mM","uM","135158-54-2","Acibenzolar-S-methyl","DTXSID1032519","",NA
"Acrylamide","EX000298","Acrylamide","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B9","71.08","Sigma-Aldrich","078K0679","99.6","100",NA,20027,20.1000003814697,"mM","uM","79-06-1","Acrylamide","DTXSID5020027","",NA
"Acrylamide","EX000427","Acrylamide","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","57","20","mM",20,"mM",100,"uL","-","-","EX000427",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20027,20,"mM","uM","79-06-1","Acrylamide","DTXSID5020027","","DMSO"
"Aldicarb","EX000299","Aldicarb","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B10","190.26","Sigma-Aldrich","7058X","99.9",NA,NA,39223,20.2000007629395,"mM","uM","116-06-3","Aldicarb","DTXSID0039223","",NA
"Aldicarb","EX000429","Aldicarb","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","59","20","mM",20,"mM",100,"uL","-","-","EX000429",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,39223,20,"mM","uM","116-06-3","Aldicarb","DTXSID0039223","","DMSO"
"Aldrin","TP0001649G11","Aldrin","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","G11",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20040,NA,"TP0001649G11","",NA,NA,NA,NA,NA,NA,20040,20,"mM","uM","309-00-2","Aldrin","DTXSID8020040","",NA
"Allethrin","EPAPLT0167B05","8","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,35180,19.6809005737305,"mM","uM","584-79-2","Allethrin","DTXSID8035180","",NA
"Allethrin","TP0001649F12","Allethrin","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","F12",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,35180,NA,"TP0001649F12","",NA,NA,NA,NA,NA,NA,35180,20,"mM","uM","584-79-2","Allethrin","DTXSID8035180","",NA
"Allyl perfluoroisopropyl ether","1483040","1483040","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483040",NA,"G5","226.094",NA,NA,NA,NA,NA,370988,30,"mM","uM","15242-17-8","Allyl perfluoroisopropyl ether","DTXSID10370988","",NA
"Aminopterin","EX000428","Aminopterin","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","58","20","mM",20,"mM",100,"uL","-","-","EX000428",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,22588,20,"mM","uM","54-62-6","Aminopterin","DTXSID3022588","",NA
"Ammonium perfluorooctanoate","1483051","1483051","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483051",NA,"H1","431.101",NA,NA,NA,NA,NA,37708,30,"mM","uM","3825-26-1","Ammonium perfluorooctanoate","DTXSID8037708","",NA
"Amoxicillin","EX000300","Amoxicillin","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"17.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B11","365.40","Sigma-Aldrich","SLBF8596V","85.2",NA,NA,37044,17.1000003814697,"mM","uM","26787-78-0","Amoxicillin","DTXSID3037044","",NA
"Amoxicillin","EX000399","Amoxicillin","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","29","20","mM",20,"mM",100,"uL","-","-","EX000399",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,37044,20,"mM","uM","26787-78-0","Amoxicillin","DTXSID3037044","","DMSO"
"Ampicillin","EPAPLT0167C02","11","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,22602,19.9995002746582,"mM","uM","69-53-4","Ampicillin","DTXSID4022602","",NA
"Anthracene","EPAPLT0167C05","12","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,23878,20,"mM","uM","120-12-7","Anthracene","DTXSID0023878","",NA
"Anthracene","EX000301","Anthracene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B12","178.23","Sigma-Aldrich","09924AJ","99.1","100",20160803,23878,19.8999996185303,"mM","uM","120-12-7","Anthracene","DTXSID0023878","",NA
"Aphidicolin","EX000415","Aphidicolin","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","45","20","mM",20,"mM",100,"uL","-","-","EX000415",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,36711,20,"mM","uM","38966-21-1","Aphidicolin","DTXSID5036711","",NA
"Aspartame","EPAPLT0167D08","13","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20107,19.9995994567871,"mM","uM","22839-47-0","Aspartame","DTXSID0020107","",NA
"Aspirin","EPAPLT0167G04","14","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20108,20.0002994537354,"mM","uM","50-78-2","Aspirin","DTXSID5020108","",NA
"Aspirin","EX000297","Acetylsalicylic acid","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B8","180.16","Sigma-Aldrich","048K0015","99.9",NA,NA,20108,19.8999996185303,"mM","uM","50-78-2","Aspirin","DTXSID5020108","",NA
"Aspirin","TP0001649G04","Aspirin","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","G04",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20108,NA,"TP0001649G04","",NA,NA,NA,NA,NA,NA,20108,20,"mM","uM","50-78-2","Aspirin","DTXSID5020108","",NA
"Atrazine","TP0001649E05","Atrazine","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","E05",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20112,NA,"TP0001649E05","",NA,NA,NA,NA,NA,NA,20112,20,"mM","uM","1912-24-9","Atrazine","DTXSID9020112","",NA
"Auramine hydrochloride","EX000302","Auramine O","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C1","303.83","Sigma-Aldrich","381389/1 ","~ 92.5",NA,20160907,20114,19.7999992370605,"mM","uM","2465-27-2","Auramine hydrochloride","DTXSID9020114","",NA
"Azinphos-methyl","EPAPLT0167C10","15","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20122,20.0004005432129,"mM","uM","86-50-0","Azinphos-methyl","DTXSID3020122","",NA
"Azoxystrobin","TP0001649G05","Azoxystrobin","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","G05",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,32520,NA,"TP0001649G05","",NA,NA,NA,NA,NA,NA,32520,20,"mM","uM","131860-33-8","Azoxystrobin","DTXSID0032520","",NA
"Benomyl","EPAPLT0167E06","16","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,23900,19.9995994567871,"mM","uM","17804-35-2","Benomyl","DTXSID5023900","",NA
"Bensulide","EX000476","Bensulide","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Frank2017","DNT_EXTRA","3","100","mM",100,"mM",100,"uL","-","-","EX000476",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,32329,100,"mM","uM","741-58-2","Bensulide","DTXSID9032329","",NA
"Bensulide","TT0000177A03","Bensulide","EPA_11118_EPA-Mundy_27FR_100mM_20150701_cg.xlsx","OPP2015","TT0000177","A03","100","mM",NA,NA,500,"uL","DMSO","42179",NA,NA,32329,"112921024",NA,"",NA,NA,NA,NA,NA,NA,32329,100,"mM","uM","741-58-2","Bensulide","DTXSID9032329","",NA
"Benz(a)anthracene","EX000303","Benz(a)anthracene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C2","228.29","Sigma-Aldrich","68898MJ","99.2","100",NA,23902,20.1000003814697,"mM","uM","56-55-3","Benz(a)anthracene","DTXSID5023902","",NA
"Benz(a)anthracene","TP0001649B04","Benz(a)anthracene","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","B04",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,23902,NA,"TP0001649B04","",NA,NA,NA,NA,NA,NA,23902,20,"mM","uM","56-55-3","Benz(a)anthracene","DTXSID5023902","",NA
"Benzo(a)pyrene","EX000304","Benzo(a)pyrene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C3","252.31","Sigma-Aldrich","077K1511","97","100",20160803,20139,20.2999992370605,"mM","uM","50-32-8","Benzo(a)pyrene","DTXSID2020139","",NA
"Benzo(a)pyrene","EX000448","Benzo(a)pyrene","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","78","20","mM",20,"mM",100,"uL","-","-","EX000448",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20139,20,"mM","uM","50-32-8","Benzo(a)pyrene","DTXSID2020139","",NA
"Benzo(b)fluoranthene","EX000305","Benzo(b)fluoranthene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C4","252.31","Sigma-Aldrich","07217CJ","98.7","100",NA,23907,19.6000003814697,"mM","uM","205-99-2","Benzo(b)fluoranthene","DTXSID0023907","",NA
"Benzo(b)fluoranthene","TP0001649G02","Benzo(b)fluoranthene","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","G02",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,23907,NA,"TP0001649G02","",NA,NA,NA,NA,NA,NA,23907,20,"mM","uM","205-99-2","Benzo(b)fluoranthene","DTXSID0023907","",NA
"Benzo(e)pyrene","EX000306","Benzo(e)pyrene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C5","252.31","Sigma-Aldrich","06821EJ","99.7","100",20160803,23764,19.8999996185303,"mM","uM","192-97-2","Benzo(e)pyrene","DTXSID3023764","",NA
"Benzo(g,h,i)perylene","EX000308","Benzo[g,h,i]perylene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C7","276.33","Sigma-Aldrich","025K3712","98",NA,20160803,23908,0.800000011920929,"mM","uM","191-24-2","Benzo(g,h,i)perylene","DTXSID5023908","",NA
"Benzo(k)fluoranthene","EX000307","Benzo(k)fluoranthene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C6","252.31","Sigma-Aldrich","1281703","100.0","100",20160803,23909,19.7999992370605,"mM","uM","207-08-9","Benzo(k)fluoranthene","DTXSID0023909","",NA
"Berberine chloride","EX000309","Berberine chloride","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C8","371.81","Sigma-Aldrich","119H0687","~84.3","97.4",NA,24602,20.1000003814697,"mM","uM","633-65-8","Berberine chloride","DTXSID8024602","",NA
"Bifenthrin","TP0001649H07","Bifenthrin","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","H07",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20160,NA,"TP0001649H07","",NA,NA,NA,NA,NA,NA,20160,20,"mM","uM","82657-04-3","Bifenthrin","DTXSID9020160","",NA
"Bis(1H,1H-perfluoropropyl)amine","1475833","1475833","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1475833",NA,"C2","281.097",NA,NA,NA,NA,NA,381992,30,"mM","uM","883498-76-8","Bis(1H,1H-perfluoropropyl)amine","DTXSID50381992","",NA
"Bis(2-ethylhexyl) tetrabromophthalate","EX000310","Bis(2-ethylhexyl) tetrabromophthalate","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C9","706.14","Toronto Research Chemicals Inc.","10-SDJ-35-1","97",NA,20160720,27887,20,"mM","uM","26040-51-7","Bis(2-ethylhexyl) tetrabromophthalate","DTXSID7027887","",NA
"Bis(tributyltin)oxide","EX000311","Bis(tributyltin)oxide","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C10","596.10","Sigma-Aldrich","STBD4811V","97.9",NA,NA,20166,1,"mM","uM","56-35-9","Bis(tributyltin)oxide","DTXSID9020166","",NA
"Bis(tributyltin)oxide","EX000447","Bis(tri-n-butylin) oxide","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","77","20","mM",20,"mM",100,"uL","-","-","EX000447",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20166,20,"mM","uM","56-35-9","Bis(tributyltin)oxide","DTXSID9020166","","DMSO"
"Bisindolylmaleimide I","EX000475","Bisindolylmaleimide I (Bis 1)","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Frank2017","DNT_EXTRA","2","100","mM",100,"mM",100,"uL","-","-","EX000475",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,157932,100,"mM","uM","133052-90-1","Bisindolylmaleimide I","DTXSID50157932","","DMSO"
"Bisphenol A","EX000312","Bisphenol A","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C11","228.29","Sigma-Aldrich","MKAA2480V","99.7",NA,NA,20182,20,"mM","uM","80-05-7","Bisphenol A","DTXSID7020182","",NA
"Bisphenol A","EX000420","Bisphenol A","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","50","20","mM",20,"mM",100,"uL","-","-","EX000420",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20182,20,"mM","uM","80-05-7","Bisphenol A","DTXSID7020182","","DMSO"
"Bisphenol AF","EX000313","Bisphenol AF","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"19.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C12","336.23","Sigma-Aldrich","12710JB","99.9",NA,NA,37717,19.8999996185303,"mM","uM","1478-61-1","Bisphenol AF","DTXSID7037717","",NA
"Bisphenol AF","TP0001649A01","Bisphenol AF","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","A01",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,37717,NA,"TP0001649A01","",NA,NA,NA,NA,NA,NA,37717,20,"mM","uM","1478-61-1","Bisphenol AF","DTXSID7037717","",NA
"Bisphenol B","TP0001649H02","Bisphenol B","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","H02",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,22442,NA,"TP0001649H02","",NA,NA,NA,NA,NA,NA,22442,20,"mM","uM","77-40-7","Bisphenol B","DTXSID4022442","",NA
"Boric acid","TP0001649F05","Boric acid","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","F05",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20194,NA,"TP0001649F05","",NA,NA,NA,NA,NA,NA,20194,20,"mM","uM","10043-35-3","Boric acid (H3BO3)","DTXSID1020194","",NA
"Boric acid (H3BO3)","EX000425","Boric acid (H3BO3)","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","55","20","mM",20,"mM",100,"uL","-","-","EX000425",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20194,20,"mM","uM","10043-35-3","Boric acid (H3BO3)","DTXSID1020194","",NA
"Boric acid (H3BO3)","EX000426","Boric acid (H3BO3)","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","56","20","mM",20,"mM",100,"uL","-","-","EX000426",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20194,20,"mM","uM","10043-35-3","Boric acid (H3BO3)","DTXSID1020194","",NA
"Boscalid","EPAPLT0167D05","18","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,34392,21.0365009307861,"mM","uM","188425-85-6","Boscalid","DTXSID6034392","",NA
"Boscalid","TP0001649B09","Boscalid","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","B09",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,34392,NA,"TP0001649B09","",NA,NA,NA,NA,NA,NA,34392,20,"mM","uM","188425-85-6","Boscalid","DTXSID6034392","",NA
"Buspirone","EPAPLT0167A09","19","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,22707,19.9995002746582,"mM","uM","36505-84-7","Buspirone","DTXSID2022707","",NA
"Busulfan","EX000434","Busulfan","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","64","20","mM",20,"mM",100,"uL","-","-","EX000434",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20910,20,"mM","uM","55-98-1","Busulfan","DTXSID3020910","",NA
"Busulfan","TP0001649A05","Busulfan","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","A05",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20910,NA,"TP0001649A05","",NA,NA,NA,NA,NA,NA,20910,20,"mM","uM","55-98-1","Busulfan","DTXSID3020910","",NA
"Butylated hydroxyanisole","EPAPLT0167B11","20","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20215,19.9997005462646,"mM","uM","25013-16-5","Butylated hydroxyanisole","DTXSID7020215","",NA
"CP-409092","TP0001649A06","CP-409092","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","A06",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,47276,NA,"TP0001649A06","",NA,NA,NA,NA,NA,NA,47276,20,"mM","uM","194098-25-4","CP-409092","DTXSID2047276","",NA
"CP-457920","TP0001649C04","CP-457920","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","C04",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,47254,NA,"TP0001649C04","",NA,NA,NA,NA,NA,NA,47254,20,"mM","uM","220860-50-4","CP-457920","DTXSID4047254","",NA
"Cadmium chloride","EPAPLT0167B04","21","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20226,20.0002994537354,"mM","uM","10108-64-2","Cadmium chloride","DTXSID6020226","",NA
