"dataset","mea_treatment_name","updated_treatment_name","PREFERRED_NAME","casn","dsstox_substance_id","spid","ALIQUOT_PLATE_BARCODE","filename","notes","cultures","ALIQUOT_WELL_ID","ALIQUOT_SOLVENT","ALIQUOT_DATE","BOTTLE_ID","ALIQUOT_VIAL_BARCODE","LOCATION","MW","Supplier","Lot.Number","chid","chnm","Solvent.used"
"Frank2017","Cadmium","Cadmium","Cadmium(II) chloride hydrate (2:5)","7790-78-5","DTXSID4040183","EX000388","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141029","18","-","-","EX000388",NA,"",NA,NA,NA,40183,"Cadmium(II) chloride hydrate (2:5)","DMSO"
"Frank2017","Caffeine","Caffeine","Caffeine","58-08-2","DTXSID0020232","EX000396","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20151014","26","-","-","EX000396",NA,"",NA,NA,NA,20232,"Caffeine","DMSO"
"Frank2017","Captopril","Captopril","Captopril","62571-86-2","DTXSID1037197","EX000456","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20151014","86","-","-","EX000456",NA,"",NA,NA,NA,37197,"Captopril","DMSO"
"Frank2017","Carbamazepine","Carbamazepine","Carbamazepine","298-46-4","DTXSID4022731","EX000470","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20160601","100","-","-","EX000470",NA,"",NA,NA,NA,22731,"Carbamazepine","DMSO"
"Frank2017","Carbaryl","Carbaryl","Carbaryl","63-25-2","DTXSID9020247","EX000522","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128","7","-","-","EX000522",NA,"",NA,NA,NA,20247,"Carbaryl","DMSO"
"Frank2017","Chloramben","Chloramben","Chloramben","133-90-4","DTXSID2020262","EX000460","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150401,20150909","90","-","-","EX000460",NA,"",NA,NA,NA,20262,"Chloramben","DMSO"
"Frank2017","Chlordiazepoxide","Chlordiazepoxide","Chlordiazepoxide hydrochloride","438-41-5","DTXSID40880060","EX000390","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150819","20","-","-","EX000390",NA,"",NA,NA,NA,880060,"Chlordiazepoxide hydrochloride","DMSO"
"Frank2017","Chlorpromazine","Chlorpromazine","Chlorpromazine hydrochloride","69-09-0","DTXSID7024827","EX000469","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20160601","99","-","-","EX000469",NA,"",NA,NA,NA,24827,"Chlorpromazine hydrochloride","Water"
"Frank2017","Chlorpyrifos","Chlorpyrifos","Chlorpyrifos","2921-88-2","DTXSID4020458","EX000384","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140924","14","-","-","EX000384",NA,"",NA,NA,NA,20458,"Chlorpyrifos","DMSO"
"Frank2017","Chlorpyrifos oxon","Chlorpyrifos oxon","Chlorpyrifos oxon","5598-15-2","DTXSID1038666","EX000378","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140924","8","-","-","EX000378",NA,"",NA,NA,NA,38666,"Chlorpyrifos oxon","DMSO"
"Frank2017","Cocaine","Cocaine","Cocaine","50-36-2","DTXSID2038443","EX000382","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140827,20141112","12","-","-","EX000382",NA,"",NA,NA,NA,38443,"Cocaine","DMSO"
"Frank2017","Colchicine","Colchicine","Colchicine","64-86-8","DTXSID5024845","EX000431","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150819","61","-","-","EX000431",NA,"",NA,NA,NA,24845,"Colchicine","DMSO"
"Frank2017","Cotinine","Cotinine","Cotinine","486-56-6","DTXSID1047576","EX000459","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150401,20150909","89","-","-","EX000459",NA,"",NA,NA,NA,47576,"Cotinine","DMSO"
"Frank2017","Cyclophosphamid","Cyclophosphamide","Cyclophosphamide monohydrate","6055-19-2","DTXSID6024888","EX000472","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20160601","102","-","-","EX000472",NA,"",NA,NA,NA,24888,"Cyclophosphamide monohydrate","Water"
"Frank2017","Cypermethrin","Cypermethrin","Cypermethrin","52315-07-8","DTXSID1023998","EX000523","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141231","8","-","-","EX000523",NA,"",NA,NA,NA,23998,"Cypermethrin","DMSO"
"Frank2017","Cytosine arabinoside","Cytosine Arabinoside","Cytarabine","147-94-4","DTXSID3022877","EX000413","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140827,20141112,20150909","43","-","-","EX000413",NA,"",NA,NA,NA,22877,"Cytarabine","DMSO"
"Frank2017","Deltamethrin","Deltamethrin","Deltamethrin","52918-63-5","DTXSID8020381","EX000423","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140827,20141112","53","-","-","EX000423",NA,"",NA,NA,NA,20381,"Deltamethrin","DMSO"
"Frank2017","Dexamethasone","Dexamethasone","Dexamethasone","50-02-2","DTXSID3020384","EX000395","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140924","25","-","-","EX000395",NA,"",NA,NA,NA,20384,"Dexamethasone","DMSO"
"Frank2017","Diazepam","Diazepam","Diazepam","439-14-5","DTXSID4020406","EX000409","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140924","39","-","-","EX000409",NA,"",NA,NA,NA,20406,"Diazepam","DMSO"
"Frank2017","Dieldrin","Dieldrin","Dieldrin","60-57-1","DTXSID9020453","EX000417","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141029","47","-","-","EX000417",NA,"",NA,NA,NA,20453,"Dieldrin","DMSO"
"Frank2017","Diethylene glycol","Diethylene glycol","Diethylene glycol","111-46-6","DTXSID8020462","EX000457","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150909","87","-","-","EX000457",NA,"",NA,NA,NA,20462,"Diethylene glycol","DMSO"
"Frank2017","Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol","56-53-1","DTXSID3020465","EX000432","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150401","62","-","-","EX000432",NA,"",NA,NA,NA,20465,"Diethylstilbestrol","DMSO"
"Frank2017","Diphenylhydantoin","Diphenylhydantoin","5,5-Diphenylhydantoin","57-41-0","DTXSID8020541","EX000381","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140924","11","-","-","EX000381",NA,"",NA,NA,NA,20541,"5,5-Diphenylhydantoin","DMSO"
"Frank2017","Domoic Acid","Domoic Acid","L-Domoic acid","14277-97-5","DTXSID20274180","EX000487","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141203","14","-","-","EX000487",NA,"",NA,NA,NA,274180,"L-Domoic acid","Water"
"Frank2017","Emamectin benzoate","Emamectin benzoate","Emamectin benzoate","155569-91-8","DTXSID0034566","EX000524","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141231,20151125","9","-","-","EX000524",NA,"",NA,NA,NA,34566,"Emamectin benzoate","DMSO"
"Frank2017","Fipronil","Fipronil","Fipronil","120068-37-3","DTXSID4034609","EX000525","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141231","10","-","-","EX000525",NA,"",NA,NA,NA,34609,"Fipronil","DMSO/Ethanol"
"Frank2017","Fluconazole","Fluconazole","Fluconazole","86386-73-4","DTXSID3020627","EX000462","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150909","92","-","-","EX000462",NA,"",NA,NA,NA,20627,"Fluconazole","DMSO"
"Frank2017","Fluoxetine","Fluoxetine","Fluoxetine hydrochloride","56296-78-7","DTXSID7020635","EX000468","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20160601","98","-","-","EX000468",NA,"",NA,NA,NA,20635,"Fluoxetine hydrochloride","DMSO"
"Frank2017","Flusilazole","Flusilazole","Flusilazole","85509-19-9","DTXSID3024235","EX000518","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141231","3","-","-","EX000518",NA,"",NA,NA,NA,24235,"Flusilazole","DMSO"
"Frank2017","Glyphosate","Glyphosate","Glyphosate","1071-83-6","DTXSID1024122","EX000408","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140910","38","-","-","EX000408",NA,"",NA,NA,NA,24122,"Glyphosate","Water"
"Frank2017","Haloperidol","Haloperidol","Haloperidol","52-86-8","DTXSID4034150","EX000410","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140910","40","-","-","EX000410",NA,"",NA,NA,NA,34150,"Haloperidol","DMSO"
"Frank2017","Heptachlor epoxide","Heptachlor epoxide","Heptachlor epoxide B","1024-57-3","DTXSID1024126","EX000437","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128,20151014","67","-","-","EX000437",NA,"",NA,NA,NA,24126,"Heptachlor epoxide B","DMSO"
"Frank2017","Hexachlorophene","Hexachlorophene","Hexachlorophene","70-30-4","DTXSID6020690","EX000392","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150805","22","-","-","EX000392",NA,"",NA,NA,NA,20690,"Hexachlorophene","DMSO"
"Frank2017","Hydroxyurea","Hydroxyurea","Hydroxyurea","127-07-1","DTXSID6025438","EX000446","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150805","76","-","-","EX000446",NA,"",NA,NA,NA,25438,"Hydroxyurea","DMSO"
"Frank2017","Imidacloprid","Imidacloprid","Imidacloprid","138261-41-3","DTXSID5032442","EX000526","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128","11","-","-","EX000526",NA,"",NA,NA,NA,32442,"Imidacloprid","DMSO"
"Frank2017","Isoniazid","Isoniazid","Isoniazid","54-85-3","DTXSID8020755","EX000441","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150401","71","-","-","EX000441",NA,"",NA,NA,NA,20755,"Isoniazid","DMSO"
"Frank2017","Ketamine","Ketamine","L-Ketamine hydrochloride","33795-24-3","DTXSID90187455","EX000391","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140910","21","-","-","EX000391",NA,"",NA,NA,NA,187455,"L-Ketamine hydrochloride","DMSO"
"Frank2017","Lactofen","Lactofen","Lactofen","77501-63-4","DTXSID7024160","EX000520","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141231","5","-","-","EX000520",NA,"",NA,NA,NA,24160,"Lactofen","DMSO"
"Frank2017","Lead acetate","Lead Acetate","Lead(II) acetate trihydrate","6080-56-4","DTXSID3031521","EX000385","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141029","15","-","-","EX000385",NA,"",NA,NA,NA,31521,"Lead(II) acetate trihydrate","DMSO"
"Frank2017","Lindane","Lindane","Lindane","58-89-9","DTXSID2020686","EX000527","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128","12","-","-","EX000527",NA,"",NA,NA,NA,20686,"Lindane","Ethanol"
"Frank2017","Loperamide","Loperamide","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","34552-83-5","DTXSID00880006","EX000411","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; CAS # changed from 53179-11-6 (Loperamide) to 34552-83-5 (Loperamide hydrochloride), based on the lab notebook","20140910,20141203","41","-","-","EX000411",NA,"",NA,NA,NA,880006,"4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","DMSO"
"Frank2017","Maneb","Maneb","Maneb","12427-38-2","DTXSID9020794","EX000418","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140910","48","-","-","EX000418",NA,"",NA,NA,NA,20794,"Maneb","DMSO"
"Frank2017","Manganese","Manganese","Manganese dichloride","7773-01-5","DTXSID9040681","EX000467","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20160511","97","-","-","EX000467",NA,"",NA,NA,NA,40681,"Manganese dichloride","Water"
"Frank2017","Methotrexate","Methotrexate","Methotrexate","59-05-2","DTXSID4020822","EX000445","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150805","75","-","-","EX000445",NA,"",NA,NA,NA,20822,"Methotrexate","DMSO"
"Frank2017","Methylchloroisothiazolinone","Methylchloroisothiazolinone","5-Chloro-2-methyl-3(2H)-isothiazolone","26172-55-4","DTXSID9034286","EX000517","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141231","2","-","-","EX000517",NA,"",NA,NA,NA,34286,"5-Chloro-2-methyl-3(2H)-isothiazolone","Water"
"Frank2017","Methylmercury","Methylmercury","Methylmercuric(II) chloride","115-09-3","DTXSID5020813","EX000383","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; CAS # changed from 22967-92-6 (methylmercurcy) to 115-09-3 (Methylmercuric(II) chloride), based on the lab notebook","20141029","13","-","-","EX000383",NA,"",NA,NA,NA,20813,"Methylmercuric(II) chloride","DMSO"
"Frank2017","Mevastatin","Mevastatin","Mevastatin","73573-88-3","DTXSID4040684","EX000498","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128","25","-","-","EX000498",NA,"",NA,NA,NA,40684,"Mevastatin","DMSO"
"Frank2017","Naloxone","Naloxone","Naloxone hydrochloride dihydrate","51481-60-8","DTXSID90199452","EX000471","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20160601","101","-","-","EX000471",NA,"",NA,NA,NA,199452,"Naloxone hydrochloride dihydrate","Water"
"Frank2017","Nicotine","Nicotine","Nicotine","54-11-5","DTXSID1020930","EX000416","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141029","46","-","-","EX000416",NA,"",NA,NA,NA,20930,"Nicotine","DMSO"
"Frank2017","PBDE-47","2,2'4,4'-Tetrabromodiphenyl ether (BDE-47)","2,2',4,4'-Tetrabromodiphenyl ether","5436-43-1","DTXSID3030056","EX000461","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; pubchem lists PBDE 47 as a synonym","20150401","91","-","-","EX000461",NA,"",NA,NA,NA,30056,"2,2',4,4'-Tetrabromodiphenyl ether","DMSO"
"Frank2017","Paraquat","Paraquat","Paraquat dichloride","1910-42-5","DTXSID7024243","EX000464","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; CAS # changed from 4685-14-7 (Paraquat) to 1910-42-5 (Paraquat dichloride), based on the lab notebook","20160511","94","-","-","EX000464",NA,"",NA,NA,NA,24243,"Paraquat dichloride","Water"
"Frank2017","Permethrin","Permethrin","Permethrin","52645-53-1","DTXSID8022292","EX000463","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20160511","93","-","-","EX000463",NA,"",NA,NA,NA,22292,"Permethrin","DMSO"
"Frank2017","Phenobarbital","Phenobarbital","Phenobarbital sodium","57-30-7","DTXSID0021123","EX000449","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150909","79","-","-","EX000449",NA,"",NA,NA,NA,21123,"Phenobarbital sodium","DMSO"
"Frank2017","Phenol","Phenol","Phenol","108-95-2","DTXSID5021124","EX000455","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20151014","85","-","-","EX000455",NA,"",NA,NA,NA,21124,"Phenol","Water"
"Frank2017","Saccharin","Saccharin","Sodium saccharin hydrate","82385-42-0","DTXSID7021992","EX000403","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141015,20151125","33","-","-","EX000403",NA,"",NA,NA,NA,21992,"Sodium saccharin hydrate","DMSO"
"Frank2017","Sodium Arsenate","Sodium Arsenite","Sodium arsenite","7784-46-5","DTXSID5020104","EX000465","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; Even though these are different, only Sodium Arsenite, not Sodium Arsenate, is listed in Table 1 of all compounds tested. No SPID for Sodium Arsenate has been registered.","20160511","95","-","-","EX000465",NA,"",NA,NA,NA,20104,"Sodium arsenite","Water"
"Frank2017","Sodium Fluoride","Sodium Fluoride","Sodium fluoride","7681-49-4","DTXSID2020630","EX000466","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20160511","96","-","-","EX000466",NA,"",NA,NA,NA,20630,"Sodium fluoride","Water"
"Frank2017","Sodium Orthovanadate","Sodium Orthovanadate","Sodium orthovanadate","13721-39-6","DTXSID2037269","EX000499","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141203","26","-","-","EX000499",NA,"",NA,NA,NA,37269,"Sodium orthovanadate","Water"
"Frank2017","Sodium benzoate","Sodium benzoate","Sodium benzoate","532-32-1","DTXSID1020140","EX000458","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20151014","88","-","-","EX000458",NA,"",NA,NA,NA,20140,"Sodium benzoate","Water"
"Frank2017","Sorbitol","Sorbitol","D-Glucitol","50-70-4","DTXSID5023588","EX000400","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141029,20151014","30","-","-","EX000400",NA,"",NA,NA,NA,23588,"D-Glucitol","DMSO"
"Frank2017","Spiroxamine","Spiroxamine","Spiroxamine","118134-30-8","DTXSID1034212","EX000519","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128,20151125","4","-","-","EX000519",NA,"",NA,NA,NA,34212,"Spiroxamine","DMSO"
"Frank2017","TBBPA,Tetrabromobisphenol A","Tetrabromobisphenol A (TBBPA)","3,3',5,5'-Tetrabromobisphenol A","79-94-7","DTXSID1026081","EX000454","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141203,20151125","84","-","-","EX000454",NA,"",NA,NA,NA,26081,"3,3',5,5'-Tetrabromobisphenol A","DMSO"
"Frank2017","TCEP,Tris(2-chloroethyl) phosphate (TCEP)","Tris (2-chloroethyl) phosphate (TCEP)","Tris(2-chloroethyl) phosphate","115-96-8","DTXSID5021411","EX000361",NA,"Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128",NA,NA,NA,NA,NA,"G12",285.49,"Sigma-Aldrich","07430JR",21411,"Tris(2-chloroethyl) phosphate",NA
"Frank2017","TDCPP,Tris(1,3-dichloro-2-propyl) phosphate (TDCPP)","Tris (1,3-dichloro-2-propyl) phosphate (TDCIPP)","Tris(1,3-dichloro-2-propyl) phosphate","13674-87-8","DTXSID9026261","EX000453","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128,20151125","83","-","-","EX000453",NA,"",NA,NA,NA,26261,"Tris(1,3-dichloro-2-propyl) phosphate","DMSO"
"Frank2017","TPP,Triphenyl phosphate (TPP)","Triphenyl phosphate (TPHP)","Triphenyl phosphate","115-86-6","DTXSID1021952","EX000360",NA,"Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128,20151125",NA,NA,NA,NA,NA,"G11,H7",326.28,"Sigma-Aldrich","11701PE",21952,"Triphenyl phosphate",NA
"Frank2017","Tebuconazole","Tebuconazole","Tebuconazole","107534-96-3","DTXSID9032113","EX000389","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150805","19","-","-","EX000389",NA,"",NA,NA,NA,32113,"Tebuconazole","DMSO"
"Frank2017","Terbutaline","Terbutaline","Terbutaline hemisulfate","23031-32-5","DTXSID3045437","EX000393","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141015","23","-","-","EX000393",NA,"",NA,NA,NA,45437,"Terbutaline hemisulfate","DMSO"
"Frank2017","Thalidomide","Thalidomide","Thalidomide","50-35-1","DTXSID9022524","EX000440","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150805","70","-","-","EX000440",NA,"",NA,NA,NA,22524,"Thalidomide","DMSO"
"Frank2017","Thiouracil","Thiouracil","6-Propyl-2-thiouracil","51-52-5","DTXSID5021209","EX000421","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141015","51","-","-","EX000421",NA,"",NA,NA,NA,21209,"6-Propyl-2-thiouracil","DMSO"
"Frank2017","Triethyltin bromide","Triethyltin bromide","Triethyltin bromide","2767-54-6","DTXSID9040712","EX000473","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20160601","103","-","-","EX000473",NA,"",NA,NA,NA,40712,"Triethyltin bromide","DMSO"
"Frank2017","Trimethyltin","Trimethyltin","Trimethyltin hydroxide","56-24-6","DTXSID9032240","EX000419","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141015","49","-","-","EX000419",NA,"",NA,NA,NA,32240,"Trimethyltin hydroxide","Water"
"Frank2017","Valproate","Valproic acid","Sodium valproate","1069-66-5","DTXSID5037072","EX000439","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; after chat with Tim - the compounds named 'Valproate' and 'Valproic acid' are both refering to 'Sodium valproate' with cas number 1069-66-5. ""Valproic acid"" will map to the correct CASN in Table 1","20141015,20160511","69","-","-","EX000439",NA,"",NA,NA,NA,37072,"Sodium valproate","DMSO"
"Frank2017","t-retinoic acid","t-retinoic acid","all-trans-Retinoic acid","302-79-4","DTXSID7021239","EX000386","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141015","16","-","-","EX000386",NA,"",NA,NA,NA,21239,"all-trans-Retinoic acid","DMSO"
"NTP91","1-Methyl-4-phenylpyridinium iodide","1-Methyl-4-phenylpyridinium iodide","1-Methyl-4-phenylpyridinium iodide","36913-39-0","DTXSID40880040","EX000279",NA,"Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx",NA,"20170913",NA,NA,NA,NA,NA,"A2",297.13,"Sigma-Aldrich","092M4729V",880040,"1-Methyl-4-phenylpyridinium iodide",NA
"NTP91","1Ethyl3methylimidazolium diethylphosphate","1-Ethyl-3-methylimidazolium diethylphosphate","1-Ethyl-3-methylimidazolium diethylphosphate","848641-69-0","DTXSID9047889","EX000278",NA,"Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","","20160907",NA,NA,NA,NA,NA,"A1",264.26,"Sigma-Aldrich","1426075",47889,"1-Ethyl-3-methylimidazolium diethylphosphate",NA
"NTP91","2-Methoxyethanol","2-Methoxyethanol","2-Methoxyethanol","109-86-4","DTXSID5024182","EX000282",NA,"Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx",NA,"20170913",NA,NA,NA,NA,NA,"A5",76.09,"Sigma-Aldrich","SHBD1377V",24182,"2-Methoxyethanol",NA
"NTP91","2244 Tetrabromodiphenyl ether","2,2',4,4'-Tetrabromodiphenyl ether","2,2',4,4'-Tetrabromodiphenyl ether","5436-43-1","DTXSID3030056","EX000285",NA,"Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","","20160720",NA,NA,NA,NA,NA,"A8",485.8,"Cerilliant Corp.","35081-43",30056,"2,2',4,4'-Tetrabromodiphenyl ether",NA
"NTP91","22445 Pentabromodiphenyl ether","2,2',4,4',5-Pentabromodiphenyl ether","2,2',4,4',5-Pentabromodiphenyl ether","60348-60-9","DTXSID9030048","EX000283",NA,"Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","","20160720",NA,NA,NA,NA,NA,"A6",564.69,"Cerilliant Corp.","35081-70",30048,"2,2',4,4',5-Pentabromodiphenyl ether",NA
"NTP91","224455 Hexabromodiphenyl ether","2,2',4,4',5,5'-Hexabromodiphenyl ether","2,2',4,4',5,5'-Hexabromodiphenyl ether","68631-49-2","DTXSID4030047","EX000284",NA,"Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","","20160720",NA,NA,NA,NA,NA,"A7",643.58,"Battelle Memorial Institute (via Cerilliant Corp.)","08022011",30047,"2,2',4,4',5,5'-Hexabromodiphenyl ether",NA
